cert,fail_date
354,1989-12-01
19664,1989-12-01
25676,1989-11-30
26433,1989-11-30
29060,1989-11-30
29436,1989-11-30
31599,1989-11-30
31601,1989-11-30
31974,1989-11-30
32133,1989-11-30
32283,1989-11-30
23763,1989-11-17
21026,1989-11-16
25171,1989-11-16
27616,1989-11-16
28649,1989-11-16
28987,1989-11-16
30982,1989-11-16
32030,1989-11-16
15080,1989-11-09
19114,1989-11-09
22530,1989-11-09
23475,1989-11-09
27821,1989-11-09
30190,1989-11-09
30909,1989-11-09
31655,1989-11-09
32162,1989-11-09
11786,1989-11-02
32281,1989-11-02
22897,1989-10-26
24704,1989-10-26
28690,1989-10-26
1187,1989-10-20
3123,1989-10-20
5498,1989-10-20
24302,1989-10-20
25782,1989-10-20
20426,1989-10-19
25061,1989-10-19
25698,1989-10-19
28174,1989-10-19
29074,1989-10-19
29183,1989-10-19
31397,1989-10-19
31682,1989-10-19
29870,1989-10-16
29918,1989-10-13
18876,1989-10-12
25751,1989-10-12
21263,1989-10-06
5540,1989-10-05
11787,1989-10-05
23999,1989-10-05
25190,1989-10-05
28550,1989-10-05
32152,1989-10-05
24889,1989-09-28
32507,1989-09-28
16342,1989-09-23
22726,1989-09-21
28187,1989-09-21
28430,1989-09-21
29660,1989-09-21
31398,1989-09-21
21186,1989-09-14
25595,1989-09-14
25731,1989-09-14
26462,1989-09-14
28912,1989-09-14
8805,1989-09-07
25906,1989-09-07
28107,1989-09-07
23943,1989-09-01
9657,1989-08-31
5560,1989-08-24
10417,1989-08-24
12300,1989-08-24
21256,1989-08-24
22967,1989-08-24
26319,1989-08-24
28760,1989-08-24
30628,1989-08-24
11158,1989-08-17
20297,1989-08-17
23536,1989-08-17
29194,1989-08-17
29850,1989-08-17
30452,1989-08-17
30486,1989-08-17
31809,1989-08-17
32001,1989-08-17
27651,1989-08-10
28899,1989-08-10
29076,1989-08-10
27748,1989-08-07
27755,1989-08-07
28237,1989-08-07
29832,1989-08-07
29867,1989-08-07
29868,1989-08-07
31396,1989-08-07
31686,1989-08-07
32091,1989-08-07
25871,1989-08-04
4233,1989-08-03
4623,1989-08-03
22457,1989-08-03
32116,1989-08-01
26722,1989-07-28
11173,1989-07-27
23026,1989-07-27
26182,1989-07-27
28955,1989-07-27
30484,1989-07-27
31630,1989-07-27
31741,1989-07-27
31821,1989-07-27
31824,1989-07-27
31915,1989-07-27
32068,1989-07-27
32497,1989-07-27
1723,1989-07-26
26270,1989-07-21
3172,1989-07-20
3202,1989-07-20
3205,1989-07-20
3331,1989-07-20
13973,1989-07-20
15332,1989-07-20
16209,1989-07-20
16345,1989-07-20
17198,1989-07-20
17421,1989-07-20
18070,1989-07-20
18307,1989-07-20
18372,1989-07-20
18392,1989-07-20
20512,1989-07-20
20722,1989-07-20
20966,1989-07-20
21838,1989-07-20
22234,1989-07-20
22317,1989-07-20
23093,1989-07-20
23175,1989-07-20
